349.996	1074.827295
350.24	1144.533376
350.505	1153.169314
350.75	1137.163698
350.994	1131.741819
351.259	1139.150918
351.504	1132.419128
351.748	1159.413399
351.992	1131.67067
352.257	1178.956951
352.502	1170.918552
352.746	1174.294153
352.991	1168.909804
353.255	1216.764429
353.5	1217.331416
353.744	1193.049774
354.009	1211.082824
354.253	1188.278792
354.497	1170.394766
354.742	1135.337154
355.006	1139.612302
355.251	1177.321784
355.495	1258.925242
355.76	1301.22589
356.004	1302.141378
356.248	1350.468502
356.493	1371.959584
356.757	1394.498167
357.001	1402.560743
357.246	1420.349562
357.49	1455.215464
357.754	1474.623381
357.999	1458.286907
358.243	1409.924242
358.507	1418.000546
358.751	1424.128744
358.996	1389.778609
359.26	1417.852215
359.504	1401.514309
359.748	1377.259566
359.992	1395.442134
360.257	1368.475047
360.501	1332.143214
360.745	1317.192252
361.01	1291.908641
361.254	1259.865625
361.498	1237.559995
361.742	1214.906719
362.006	1242.872476
362.25	1248.16171
362.494	1255.840428
362.758	1279.37883
363.002	1316.297975
363.246	1352.646344
363.49	1366.366233
363.755	1371.621656
363.999	1342.646508
364.243	1310.886085
364.507	1291.342394
364.751	1265.977789
364.995	1262.748995
365.259	1224.82385
365.503	1180.077609
365.747	1178.83545
365.99	1150.173997
366.255	1143.364851
366.499	1148.423653
366.742	1154.079705
367.006	1223.258858
367.25	1273.851373
367.494	1311.167991
367.758	1319.860849
368.002	1327.385508
368.246	1372.50674
368.51	1417.305566
368.754	1428.627905
368.997	1445.750093
369.241	1438.220909
369.505	1432.408888
369.749	1448.920789
369.992	1438.93835
370.256	1438.591436
370.5	1422.68186
370.744	1393.058335
371.008	1332.405393
371.251	1309.912536
371.495	1323.453926
371.759	1292.483975
372.003	1273.67572
372.246	1268.030563
372.51	1252.188513
372.754	1246.109146
372.997	1243.301163
373.241	1238.021048
373.505	1267.411427
373.748	1245.44223
373.992	1266.871721
374.255	1280.581734
374.499	1289.768906
374.742	1293.892419
375.006	1328.774286
375.25	1338.451086
375.493	1321.285417
375.757	1318.539045
376	1339.342153
376.244	1359.535027
376.507	1334.992547
376.751	1297.838525
376.994	1293.008202
377.258	1297.235141
377.501	1291.551153
377.745	1292.928194
378.008	1264.476896
378.252	1254.581486
378.495	1265.777784
378.759	1251.252243
379.002	1232.188532
379.245	1222.664138
379.509	1216.126756
379.752	1211.841399
379.995	1203.48447
380.259	1165.068358
380.502	1151.542361
380.745	1118.901381
381.009	1098.591862
381.252	1088.752619
381.495	1074.972115
381.759	1058.680076
382.002	1052.773229
382.245	1068.330895
382.508	1066.225437
382.752	1074.44665
382.995	1098.216516
383.258	1113.709353
383.501	1129.576951
383.744	1156.349785
384.008	1163.52752
384.251	1187.443238
384.494	1197.729603
384.757	1199.12543
385	1174.384341
385.243	1164.473953
385.506	1174.092682
385.749	1157.053
385.992	1145.527242
386.256	1135.640209
386.499	1127.843959
386.742	1132.47311
387.005	1133.987709
387.248	1140.433811
387.491	1152.551655
387.754	1137.135835
387.997	1127.731516
388.26	1114.696115
388.503	1121.572784
388.746	1132.082981
389.009	1137.364275
389.252	1148.437436
389.494	1155.717491
389.757	1137.73429
390	1139.967345
390.243	1146.57859
390.506	1145.321136
390.749	1152.116833
390.992	1160.26548
391.255	1163.935341
391.497	1164.867663
391.74	1153.247499
392.003	1137.315344
392.246	1120.966081
392.509	1113.454311
392.751	1115.706265
392.994	1100.931852
393.257	1077.679313
393.5	1051.898417
393.742	1033.970309
394.005	1021.543153
394.248	998.4714889
394.49	993.1331686
394.753	1003.468581
394.996	1014.336676
395.259	1033.307086
395.501	1053.141082
395.744	1064.812829
396.007	1068.160955
396.249	1069.516055
396.492	1083.932629
396.754	1091.21824
396.997	1105.183307
397.26	1089.324351
397.502	1084.659803
397.744	1074.773252
398.007	1050.7428
398.25	1040.442631
398.492	1031.513267
398.755	1009.558518
398.997	999.3343529
399.26	985.0152498
399.502	969.1582374
399.744	963.9377673
400.007	957.3725006
400.249	965.4431969
400.492	968.4009283
400.754	961.9828095
400.996	970.0380406
401.259	974.0412241
401.501	980.4889459
401.744	992.7330801
402.006	992.7166062
402.248	993.0660933
402.49	989.0648644
402.753	978.5601521
402.995	971.4721334
403.258	961.2157579
403.5	953.7438285
403.742	955.5562225
404.004	961.3888898
404.246	951.3211507
404.509	942.7459064
404.751	947.7426275
404.993	949.6446489
405.255	943.1647101
405.497	943.0948892
405.76	938.7445567
406.002	932.0236386
406.244	933.603474
406.506	923.1130265
406.748	916.8967989
406.99	915.0234144
407.252	903.4077754
407.494	891.2870236
407.757	879.2084492
407.999	875.5182901
408.241	880.3099215
408.503	879.6082163
408.745	874.5541843
409.007	874.5632692
409.249	871.9075204
409.491	871.4224488
409.753	873.360424
409.994	874.9715461
410.257	876.7298351
410.498	872.1301517
410.74	873.0816787
411.002	877.3602127
411.244	878.2510308
411.506	888.1426421
411.748	878.3921614
412.01	874.9313188
412.252	871.5189151
412.493	871.8474234
412.755	873.6993646
412.997	872.5095778
413.259	869.3185329
413.501	866.5603533
413.742	866.4967174
414.004	866.774418
414.246	861.6190382
414.508	861.5847387
414.749	858.4402338
414.991	860.600013
415.253	862.6141233
415.494	860.2429001
415.756	847.1473114
415.998	844.1855147
416.26	839.2341541
416.501	826.8344333
416.743	824.1279402
417.004	824.0768949
417.246	817.8822501
417.508	811.7222169
417.749	810.7072854
417.991	809.9590104
418.252	813.0359557
418.494	815.8019153
418.755	817.2229991
418.997	822.0694266
419.258	820.0009881
419.5	813.98449
419.741	807.9253765
420.003	802.3672001
